time,exit_time,direction,entry,exit,lot,pnl,result,regime,ai_score,spread,slippage
2024-09-19 05:00,2024-09-20 05:30,BUY,2568.61769,2595.00274,0.01,26.39,TP,HIGH_VOLATILITY,0.8651,0.5,0.17
2024-09-25 02:00,2024-09-25 06:00,BUY,2664.81168,2653.92072,0.01,-10.89,SL,RANGING,0.8814,0.5,0.17
2024-09-25 12:00,2024-09-25 16:30,BUY,2659.53195,2652.29299,0.01,-7.24,SL,HIGH_VOLATILITY,0.8306,0.5,0.09
2024-09-27 03:30,2024-09-27 05:30,BUY,2673.63479,2665.17043,0.01,-8.46,SL,HIGH_VOLATILITY,0.814,0.5,0.08
2024-09-27 11:00,2024-09-27 14:30,BUY,2667.13596,2656.58017,0.01,-10.56,SL,HIGH_VOLATILITY,0.8217,0.5,0.2
2024-10-01 12:00,2024-10-02 05:30,BUY,2655.8794,2645.43833,0.01,-10.44,SL,RANGING,0.8764,0.5,0.14
2024-10-04 02:00,2024-10-04 12:30,BUY,2661.28394,2654.6143,0.01,-6.67,SL,HIGH_VOLATILITY,0.7763,0.5,0.19
2024-10-09 13:00,2024-10-10 12:30,SELL,2610.11921,2624.38016,0.01,-14.26,SL,HIGH_VOLATILITY,0.8948,0.5,0.08
2024-10-15 14:00,2024-10-18 01:30,BUY,2659.29065,2706.30012,0.01,47.01,TP,HIGH_VOLATILITY,0.7658,0.5,0.16
2024-10-18 16:00,2024-10-21 13:00,BUY,2717.46304,2739.90207,0.01,22.44,TP,HIGH_VOLATILITY,0.8821,0.5,0.1
2024-10-22 01:00,2024-10-23 08:00,BUY,2728.31296,2755.73825,0.01,27.43,TP,HIGH_VOLATILITY,0.8488,0.5,0.1
2024-10-24 04:00,2024-10-24 13:30,BUY,2725.81073,2742.89526,0.02,34.17,TP,HIGH_VOLATILITY,0.7905,0.5,0.17
2024-10-24 18:00,2024-10-25 08:00,BUY,2737.42011,2723.13078,0.01,-14.29,SL,HIGH_VOLATILITY,0.8051,0.5,0.11
2024-10-30 04:30,2024-10-30 12:00,BUY,2780.1667,2774.9165,0.02,-10.5,SL,HIGH_VOLATILITY,0.7946,0.5,0.07
2024-10-30 15:30,2024-10-31 13:00,BUY,2784.64066,2768.59704,0.01,-16.04,SL,HIGH_VOLATILITY,0.8135,0.5,0.17
2024-11-08 10:00,2024-11-08 11:30,SELL,2685.28178,2693.69328,0.01,-8.41,SL,HIGH_VOLATILITY,0.8169,0.5,0.12
2024-11-08 18:30,2024-11-11 09:30,SELL,2684.88395,2664.08057,0.01,20.8,TP,HIGH_VOLATILITY,0.8079,0.5,0.1
2024-11-12 04:00,2024-11-13 16:30,SELL,2616.91632,2586.69006,0.01,30.23,TP,HIGH_VOLATILITY,0.8646,0.5,0.07
2024-11-20 12:30,2024-11-21 08:30,BUY,2631.8,2668.4655,0.01,36.67,TP,HIGH_VOLATILITY,0.8124,0.5,0.2
2024-11-26 05:00,2024-11-26 12:00,SELL,2622.49052,2634.15647,0.01,-11.67,SL,HIGH_VOLATILITY,0.7758,0.5,0.15
2024-11-26 17:30,2024-11-27 02:00,SELL,2624.93709,2635.40516,0.01,-10.47,SL,HIGH_VOLATILITY,0.7792,0.5,0.19
2024-11-28 01:00,2024-11-28 08:30,SELL,2627.06901,2639.90652,0.01,-12.84,SL,HIGH_VOLATILITY,0.8233,0.5,0.1
2024-12-10 10:30,2024-12-12 00:30,BUY,2675.44918,2722.60085,0.01,47.15,TP,HIGH_VOLATILITY,0.8042,0.5,0.12
2024-12-16 14:30,2024-12-18 19:00,SELL,2654.84029,2626.96702,0.01,27.87,TP,HIGH_VOLATILITY,0.8713,0.5,0.07
2024-12-23 15:00,2024-12-26 00:30,SELL,2610.96675,2621.53397,0.01,-10.57,SL,HIGH_VOLATILITY,0.848,0.5,0.03
2024-12-30 19:00,2024-12-30 20:00,SELL,2604.37066,2609.16783,0.02,-9.59,SL,HIGH_VOLATILITY,0.7558,0.5,0.13
2024-12-30 23:00,2024-12-31 01:30,SELL,2604.65869,2610.93324,0.02,-12.55,SL,HIGH_VOLATILITY,0.8958,0.5,0.13
2025-01-07 17:00,2025-01-16 01:30,BUY,2654.75862,2701.19528,0.01,46.44,TP,HIGH_VOLATILITY,0.8843,0.5,0.06
2025-01-17 12:30,2025-01-17 20:00,BUY,2711.04975,2701.4165,0.01,-9.63,SL,HIGH_VOLATILITY,0.8506,0.5,0.07
2025-01-21 02:00,2025-01-24 13:00,BUY,2721.44928,2783.37149,0.01,61.92,TP,HIGH_VOLATILITY,0.8578,0.5,0.03
2025-01-30 00:30,2025-01-30 12:30,BUY,2762.16411,2780.95512,0.02,37.58,TP,HIGH_VOLATILITY,0.8388,0.5,0.01
2025-02-03 08:00,2025-02-04 15:00,BUY,2798.05164,2841.50232,0.01,43.45,TP,HIGH_VOLATILITY,0.7933,0.5,0.16
2025-02-06 01:30,2025-02-06 06:30,BUY,2871.56438,2861.72253,0.01,-9.84,SL,HIGH_VOLATILITY,0.8746,0.5,0.04
2025-02-06 20:30,2025-02-07 15:00,BUY,2856.35035,2882.87806,0.01,26.53,TP,HIGH_VOLATILITY,0.7572,0.5,0.03
2025-02-14 10:00,2025-02-14 12:30,BUY,2938.96391,2928.98219,0.01,-9.98,SL,HIGH_VOLATILITY,0.803,0.5,0.09
2025-02-18 11:30,2025-02-18 19:30,BUY,2914.16497,2935.78536,0.02,43.24,TP,RANGING,0.7835,0.5,0.1
2025-02-19 06:00,2025-02-19 16:00,BUY,2934.90423,2924.70939,0.01,-10.19,SL,HIGH_VOLATILITY,0.7883,0.5,0.12
2025-02-20 00:30,2025-02-20 14:00,BUY,2940.82716,2930.69474,0.01,-10.13,SL,HIGH_VOLATILITY,0.7962,0.5,0.12
