time,exit_time,direction,entry,exit,lot,pnl,commission,result,regime,ai_score,spread,slippage,session
2025-06-24 23:05:00+00:00,2025-06-25 00:05:00+00:00,SELL,3322.47619,3326.32007,0.01,-3.88,0.07,SL,HIGH_VOLATILITY,0.8,21.76,0.78,NEW_YORK
2025-06-25 01:50:00+00:00,2025-06-25 09:10:00+00:00,SELL,3333.63851,3323.11408,0.01,10.49,0.07,TP,TRENDING,0.8,40.93,0.95,TOKYO
2025-06-25 10:05:00+00:00,2025-06-25 16:40:00+00:00,SELL,3325.22432,3332.87271,0.01,-7.68,0.07,SL,HIGH_VOLATILITY,0.8,23.48,0.97,LONDON
2025-06-25 20:40:00+00:00,2025-06-25 23:35:00+00:00,SELL,3332.94043,3338.30723,0.01,-5.4,0.07,SL,HIGH_VOLATILITY,0.8,26.03,1.06,NEW_YORK
2025-06-26 01:40:00+00:00,2025-06-26 02:40:00+00:00,SELL,3331.7264,3339.60795,0.01,-7.92,0.07,SL,HIGH_VOLATILITY,0.8,34.19,0.76,TOKYO
2025-06-26 04:25:00+00:00,2025-06-26 05:30:00+00:00,BUY,3336.53394,3332.43986,0.01,-4.13,0.07,SL,HIGH_VOLATILITY,0.8,42.79,0.75,TOKYO
2025-06-26 12:30:00+00:00,2025-06-26 12:55:00+00:00,SELL,3342.70039,3323.44624,0.01,19.22,0.07,TP,HIGH_VOLATILITY,0.8,43.43,1.76,LONDON
2025-06-26 15:55:00+00:00,2025-06-26 16:30:00+00:00,SELL,3324.19838,3331.69584,0.01,-7.53,0.07,SL,HIGH_VOLATILITY,0.8,22.27,0.76,LONDON
2025-06-27 01:40:00+00:00,2025-06-27 03:20:00+00:00,SELL,3318.62687,3300.33914,0.01,18.25,0.07,TP,HIGH_VOLATILITY,0.8,43.24,1.21,TOKYO
2025-06-27 05:20:00+00:00,2025-06-27 12:10:00+00:00,SELL,3296.82692,3273.03783,0.01,23.75,0.07,TP,HIGH_VOLATILITY,0.8,51.29,1.51,TOKYO
2025-06-27 19:05:00+00:00,2025-06-29 22:05:00+00:00,SELL,3274.64155,3272.9995,0.01,1.61,0.04,GAP,HIGH_VOLATILITY,0.8,0.0,51.15,NEW_YORK
2025-06-30 00:20:00+00:00,2025-06-30 02:00:00+00:00,SELL,3269.24346,3277.1557,0.03,-23.84,0.21,SL,HIGH_VOLATILITY,0.8,37.66,1.15,TOKYO
2025-06-30 03:50:00+00:00,2025-06-30 05:15:00+00:00,SELL,3280.8946,3287.64869,0.03,-20.37,0.21,SL,HIGH_VOLATILITY,0.8,33.0,0.74,TOKYO
2025-06-30 12:25:00+00:00,2025-06-30 16:00:00+00:00,SELL,3285.07452,3291.62113,0.01,-6.58,0.07,SL,HIGH_VOLATILITY,0.8,18.32,1.65,LONDON
2025-07-01 02:05:00+00:00,2025-07-01 05:10:00+00:00,BUY,3316.67701,3327.11391,0.01,10.4,0.07,TP,TRENDING,0.8,33.7,0.92,TOKYO
2025-07-01 06:15:00+00:00,2025-07-01 09:40:00+00:00,BUY,3328.45006,3345.42421,0.01,16.94,0.07,TP,TRENDING,0.8,36.79,1.06,TOKYO
2025-07-01 10:35:00+00:00,2025-07-01 15:15:00+00:00,BUY,3346.79086,3338.96995,0.02,-15.71,0.14,SL,TRENDING,0.8,27.07,1.3,LONDON
2025-07-01 20:00:00+00:00,2025-07-02 00:00:00+00:00,BUY,3338.2774,3334.70234,0.01,-3.61,0.07,SL,HIGH_VOLATILITY,0.8,28.53,0.66,NEW_YORK
2025-07-02 01:45:00+00:00,2025-07-02 12:20:00+00:00,BUY,3333.65356,3349.11498,0.01,15.43,0.07,TP,HIGH_VOLATILITY,0.8,59.58,0.64,TOKYO
2025-07-02 13:50:00+00:00,2025-07-02 19:55:00+00:00,BUY,3337.62681,3357.88413,0.01,20.22,0.07,TP,HIGH_VOLATILITY,0.8,22.11,1.82,LONDON
2025-07-02 20:05:00+00:00,2025-07-02 23:15:00+00:00,BUY,3358.88849,3352.56257,0.01,-6.36,0.07,SL,TRENDING,0.8,39.8,1.43,NEW_YORK
2025-07-03 01:00:00+00:00,2025-07-03 06:00:00+00:00,BUY,3345.25252,3360.59618,0.04,61.23,0.28,TP,HIGH_VOLATILITY,0.8,65.55,0.94,TOKYO
2025-07-03 07:10:00+00:00,2025-07-03 09:25:00+00:00,BUY,3358.51898,3350.73141,0.03,-23.47,0.21,SL,HIGH_VOLATILITY,0.8,32.58,1.16,TOKYO
2025-07-03 11:10:00+00:00,2025-07-03 12:30:00+00:00,BUY,3349.3597,3341.31668,0.03,-24.23,0.21,SL,HIGH_VOLATILITY,0.8,26.95,0.7,LONDON
2025-07-03 19:05:00+00:00,2025-07-03 23:40:00+00:00,SELL,3328.14449,3332.13579,0.01,-4.03,0.07,SL,HIGH_VOLATILITY,0.8,35.59,0.45,NEW_YORK
2025-07-04 01:40:00+00:00,2025-07-04 06:05:00+00:00,BUY,3329.54046,3343.24161,0.02,27.33,0.14,TP,HIGH_VOLATILITY,0.8,35.82,1.56,TOKYO
2025-07-04 06:15:00+00:00,2025-07-04 09:30:00+00:00,BUY,3342.23001,3335.46774,0.03,-20.39,0.21,SL,TRENDING,0.8,36.79,1.39,TOKYO
